name;count
ANNA;1373184
JAN;1106929
STANISŁAW;961248
PIOTR;819670
ANDRZEJ;745015
KRZYSZTOF;738537
ZOFIA;731930
JÓZEF;691962
KATARZYNA;682242
MAŁGORZATA;626627
KRYSTYNA;607769
BARBARA;600780
AGNIESZKA;595709
TOMASZ;583838
JANINA;580254
PAWEŁ;575459
MICHAŁ;569981
EWA;539038
ELŻBIETA;519616
HELENA;507807
ADAM;504915
TADEUSZ;483436
MARCIN;475867
TERESA;474020
MAREK;456941
MAGDALENA;455703
JADWIGA;454365
JERZY;452238
MARIANNA;447695
JAKUB;446291
JOANNA;446141
ALEKSANDRA;436767
GRZEGORZ;427383
HENRYK;405061
IRENA;402673
WOJCIECH;399386
MONIKA;399050
ZBIGNIEW;397837
ŁUKASZ;397720
DANUTA;387677
KAZIMIERZ;387564
MATEUSZ;387283
RYSZARD;367907
STANISŁAWA;359966
HALINA;359644
NATALIA;346336
JULIA;343045
MARIAN;341270
MARTA;341013
ANTONI;320225
KAROLINA;319774
DARIUSZ;318914
WŁADYSŁAW;316201
FRANCISZEK;315999
MARIUSZ;311223
ALICJA;297972
BEATA;290752
ROBERT;288230
DOROTA;286711
MACIEJ;285552
ROMAN;276748
RAFAŁ;276716
JACEK;265312
GRAŻYNA;262431
JOLANTA;261128
JANUSZ;260581
KAMIL;258301
SZYMON;252128
WIKTORIA;251960
HANNA;249889
DAWID;245958
ZUZANNA;244867
IWONA;243273
PAULINA;238748
MIROSŁAW;236069
KACPER;234700
URSZULA;228449
BOŻENA;227682
EDWARD;226718
ALEKSANDER;223127
JUSTYNA;222968
MIECZYSŁAW;222881
SŁAWOMIR;215872
JAROSŁAW;215065
ARTUR;214385
WIESŁAW;213930
CZESŁAW;209491
BARTOSZ;208898
EMILIA;208076
STEFAN;204938
ZDZISŁAW;203551
RENATA;202619
KAROL;200420
SEBASTIAN;194541
AGATA;193974
WERONIKA;192886
WANDA;192825
DAMIAN;191176
MAJA;189725
SYLWIA;187116
JÓZEFA;185457
STEFANIA;184915
PATRYK;184571
DANIEL;183339
FILIP;179172
GENOWEFA;175535
PRZEMYSŁAW;173977
PATRYCJA;171701
IZABELA;170447
OLIWIA;167476
EUGENIUSZ;164668
ZYGMUNT;162022
MIKOŁAJ;158733
LESZEK;157638
WŁADYSŁAWA;155703
ANETA;154662
ADRIAN;153892
KAZIMIERA;152350
EWELINA;151606
GABRIELA;149937
WALDEMAR;145536
MARTYNA;144974
BOGDAN;144959
ARKADIUSZ;144739
WIKTOR;144327
DOMINIK;143540
KLAUDIA;141357
WIESŁAWA;137842
LENA;135101
AMELIA;133699
MARZENA;133635
ALINA;132008
BARTŁOMIEJ;130452
DOMINIKA;126873
OLEKSANDR;125661
ANTONINA;125557
KINGA;123461
ANIELA;123353
EDYTA;119017
KRYSTIAN;118645
KAMILA;115948
LEON;114098
BRONISŁAWA;110757
LUCYNA;109425
RADOSŁAW;108891
KONRAD;102268
LIDIA;101641
HUBERT;99230
CZESŁAWA;97740
IGOR;97511
BRONISŁAW;96957
TETIANA;95344
REGINA;92819
WACŁAW;92743
LEOKADIA;91715
DARIA;91241
HENRYKA;90994
BOLESŁAW;90604
NATALIIA;90037
WITOLD;89955
ZENON;89636
BOGUSŁAW;88956
WŁODZIMIERZ;88240
MIROSŁAWA;87983
MARIOLA;86951
ŁUCJA;86782
OLENA;85467
MICHALINA;84426
MARCEL;83685
LAURA;83269
