surname;count
NOWAK;147672
KOWALSKI;95511
KOWALSKA;93009
WIŚNIEWSKI;75139
WIŚNIEWSKA;73424
WÓJCIK;67966
KOWALCZYK;66872
KAMIŃSKI;64651
LEWANDOWSKI;63462
KAMIŃSKA;63427
LEWANDOWSKA;63093
ZIELIŃSKI;62421
DĄBROWSKI;62293
DĄBROWSKA;61775
ZIELIŃSKA;61216
SZYMAŃSKI;60804
WOŹNIAK;60774
SZYMAŃSKA;59811
KOZŁOWSKI;51776
KOZŁOWSKA;50754
MAZUR;47626
JANKOWSKI;47054
JANKOWSKA;45990
KWIATKOWSKI;45189
WOJCIECHOWSKI;45119
KWIATKOWSKA;44908
WOJCIECHOWSKA;44807
KRAWCZYK;43466
KACZMAREK;42451
PIOTROWSKI;41795
PIOTROWSKA;41411
GRABOWSKI;39721
GRABOWSKA;39033
ZAJĄC;38095
PAWŁOWSKI;37896
PAWŁOWSKA;37362
MICHALSKI;37315
KRÓL;37062
MICHALSKA;36873
NOWAKOWSKI;35811
NOWAKOWSKA;35288
WRÓBEL;34711
WIECZOREK;34608
JABŁOŃSKI;34132
DUDEK;33812
ADAMCZYK;33731
JABŁOŃSKA;33621
MAJEWSKI;33585
MAJEWSKA;33295
NOWICKI;32692
OLSZEWSKI;32651
NOWICKA;32362
STĘPIEŃ;32312
MALINOWSKI;32157
JAWORSKI;32078
OLSZEWSKA;31991
JAWORSKA;31771
MALINOWSKA;31572
PAWLAK;31342
GÓRSKI;30717
SIKORA;30405
GÓRSKA;30403
WITKOWSKI;30354
WALCZAK;30173
WITKOWSKA;30105
BARAN;29889
RUTKOWSKI;29851
RUTKOWSKA;29252
MICHALAK;29174
SZEWCZYK;28834
OSTROWSKI;28487
OSTROWSKA;28252
TOMASZEWSKI;27257
TOMASZEWSKA;27085
DUDA;26923
ZALEWSKI;26793
PIETRZAK;26731
WRÓBLEWSKI;26351
JASIŃSKI;26108
ZALEWSKA;26058
WRÓBLEWSKA;25991
MARCINIAK;25981
JASIŃSKA;25769
ZAWADZKI;25677
SADOWSKI;25663
BĄK;25592
JAKUBOWSKI;25490
JAKUBOWSKA;25433
ZAWADZKA;25351
SADOWSKA;25244
WILK;24484
CHMIELEWSKI;24293
WŁODARCZYK;24234
CHMIELEWSKA;23864
BORKOWSKI;23834
BORKOWSKA;23727
SOKOŁOWSKI;23316
SOKOŁOWSKA;23243
SZCZEPAŃSKI;23198
SAWICKI;23189
LIS;22969
SZCZEPAŃSKA;22767
SAWICKA;22741
KUCHARSKI;22581
KUCHARSKA;22220
MAZUREK;21967
KUBIAK;21920
KALINOWSKI;21875
WYSOCKI;21817
MACIEJEWSKI;21757
MACIEJEWSKA;21676
CZARNECKI;21645
KALINOWSKA;21587
CZARNECKA;21561
WYSOCKA;21401
KOŁODZIEJ;20900
KAŹMIERCZAK;20733
URBAŃSKI;20637
URBAŃSKA;20491
SOBCZAK;19813
KONIECZNY;19553
GŁOWACKI;19306
KRUPA;19293
WASILEWSKI;19091
ZAKRZEWSKI;19034
GŁOWACKA;19018
KRAJEWSKI;18958
SIKORSKA;18956
KRAJEWSKA;18839
ZAKRZEWSKA;18812
SIKORSKI;18742
ADAMSKI;18740
MRÓZ;18664
ADAMSKA;18601
WASILEWSKA;18551
LASKOWSKI;18538
GAJEWSKI;18505
ZIÓŁKOWSKI;18471
KOZAK;18431
SZULC;18375
MAKOWSKI;18372
GAJEWSKA;18361
ZIÓŁKOWSKA;18281
LASKOWSKA;18228
BARANOWSKI;18179
MAKOWSKA;18126
SZYMCZAK;18054
KACZMARCZYK;18013
BRZEZIŃSKI;17993
CZERWIŃSKI;17977
PRZYBYLSKI;17975
CZERWIŃSKA;17812
BŁASZCZYK;17805
ANDRZEJEWSKI;17793
PRZYBYLSKA;17765
BOROWSKI;17765
BRZEZIŃSKA;17746
BARANOWSKA;17731
CIEŚLAK;17649
ANDRZEJEWSKA;17606
KANIA;17539
CHOJNACKI;17422
GÓRECKI;17410
SZCZEPANIAK;17341
JANIK;17327
BOROWSKA;17305
GÓRECKA;17098
CHOJNACKA;17014
LIPIŃSKI;16980
LESZCZYŃSKI;16976
MUCHA;16973
LESZCZYŃSKA;16891
KOZIOŁ;16879
WESOŁOWSKI;16836
LIPIŃSKA;16792
KOWALEWSKI;16785
WESOŁOWSKA;16779
MIKOŁAJCZYK;16692
NOWACKI;16546
DOMAŃSKI;16517
KOWALEWSKA;16458
DOMAŃSKA;16353
KONIECZNA;16309
JAROSZ;16234
CIESIELSKI;16198
KOWALIK;16167
ZIĘBA;16160
MUSIAŁ;16158
NOWACKA;16054
KOŁODZIEJCZYK;15947
MARKOWSKI;15867
MARKOWSKA;15786
KOPEĆ;15725
BRZOZOWSKI;15700
CIESIELSKA;15654
PIĄTEK;15548
KUREK;15515
BRZOZOWSKA;15484
ŻAK;15426
ORŁOWSKI;15368
KOT;15344
TOMCZYK;15326
PAWLIK;15316
TOMCZAK;15302
ORŁOWSKA;15148
URBANIAK;15031
MARKIEWICZ;15008
WAWRZYNIAK;14996
KRUK;14938
WÓJTOWICZ;14893
WOLSKI;14752
POLAK;14652
CZAJKOWSKA;14612
CZAJKOWSKI;14598
WOLSKA;14550
STASIAK;14495
NAWROCKI;14445
SOWA;14430
STANKIEWICZ;14425
NAWROCKA;14279
ŁUCZAK;14144
JASTRZĘBSKI;14143
KARPIŃSKI;14128
JASTRZĘBSKA;14011
DZIEDZIC;13920
WIERZBICKI;13900
WIERZBICKA;13825
PIASECKI;13811
KARPIŃSKA;13716
PIASECKA;13663
GAJDA;13635
KLIMEK;13609
BEDNAREK;13557
URBAN;13441
STEFAŃSKI;13394
JANICKI;13302
JÓŹWIAK;13257
BIELECKI;13249
JANICKA;13240
BIELECKA;13197
STEFAŃSKA;13190
DOMAGAŁA;13185
SOSNOWSKA;13162
MADEJ;13118
SOSNOWSKI;13115
MAJCHRZAK;13072
MAJ;13000
DOBROWOLSKA;12973
MILEWSKI;12963
MILEWSKA;12943
DOBROWOLSKI;12913
MAŁECKI;12870
KOWAL;12816
SKIBA;12800
LEŚNIAK;12779
ŚLIWIŃSKI;12709
SOCHA;12582
MAŁECKA;12562
MAREK;12504
ŚLIWIŃSKA;12501
BEDNARCZYK;12385
WRONA;12286
KASPRZAK;12209
PAJĄK;12102
MATUSZEWSKI;12078
OLEJNICZAK;12039
ROMANOWSKA;11968
RATAJCZAK;11873
WILCZYŃSKI;11871
MATUSZEWSKA;11864
WILCZYŃSKA;11859
ROMANOWSKI;11817
MICHALIK;11788
ŚWIĄTEK;11787
OWCZAREK;11728
ORZECHOWSKI;11700
KUROWSKI;11698
GRZELAK;11668
OLEJNIK;11575
RYBAK;11548
ŁUKASIK;11528
ORZECHOWSKA;11491
KUROWSKA;11430
SOBOLEWSKA;11407
SOBOLEWSKI;11359
MAZURKIEWICZ;11353
BUKOWSKI;11352
ROGOWSKI;11345
SROKA;11270
KĘDZIERSKI;11264
BUKOWSKA;11256
MATUSIAK;11247
KOSIŃSKI;11210
ROGOWSKA;11194
BARAŃSKI;11194
KĘDZIERSKA;11148
BARAŃSKA;11143
CZAJKA;11070
KOSIŃSKA;11022
SOBCZYK;11000
KOZIEŁ;10983
MARSZAŁEK;10953
MARCINKOWSKI;10951
ZYCH;10945
SKOWROŃSKI;10923
SKOWROŃSKA;10869
MARCINKOWSKA;10854
CHRZANOWSKI;10850
BEDNARSKA;10789
LISOWSKI;10773
BEDNARSKI;10771
BEDNARZ;10701
JANISZEWSKA;10680
KASPRZYK;10645
ŚWIDERSKI;10643
LISOWSKA;10642
PLUTA;10640
JANISZEWSKI;10626
CHRZANOWSKA;10620
KWIECIEŃ;10558
BIAŁEK;10531
MARCZAK;10522
ŚWIDERSKA;10521
KUCZYŃSKI;10514
MUSZYŃSKI;10511
MORAWSKA;10470
JĘDRZEJEWSKI;10442
WITEK;10422
MORAWSKI;10415
PALUCH;10414
CZECH;10401
GRZYBOWSKI;10399
TUREK;10379
MUSZYŃSKA;10378
KUCZYŃSKA;10365
CZAJA;10350
CHMIEL;10251
ŻUKOWSKI;10247
DĘBSKI;10246
GRZYBOWSKA;10215
MARZEC;10205
KACZOR;10204
CIEŚLIK;10193
OSIŃSKA;10192
JĘDRZEJEWSKA;10126
MAŁEK;10124
OSIŃSKI;10114
KUBICKI;10105
PIEKARSKI;10098
KRZEMIŃSKA;10025
DĘBSKA;10000
SZCZĘSNY;9973
KUBICKA;9968
MICHAŁOWSKA;9952
KRZEMIŃSKI;9947
ŻUKOWSKA;9940
ŚLIWA;9926
PIEKARSKA;9897
JANOWSKI;9871
STEFANIAK;9870
JANOWSKA;9855
RAK;9843
PRZYBYSZ;9840
BIERNACKI;9833
GOŁĘBIEWSKI;9830
MICHAŁOWSKI;9800
KULESZA;9728
LECH;9726
SZYDŁOWSKI;9688
BIERNACKA;9684
SMOLIŃSKI;9678
KACPRZAK;9669
SZYDŁOWSKA;9659
LEWICKI;9654
KUJAWA;9629
STANISZEWSKI;9609
STANISZEWSKA;9601
CZYŻ;9601
MURAWSKI;9589
LEWICKA;9569
NIEMIEC;9569
RUDNICKI;9565
DROZD;9555
RUDNICKA;9549
AUGUSTYNIAK;9549
GÓRA;9534
GOŁĘBIEWSKA;9533
BANACH;9521
POPŁAWSKI;9512
PIETRZYK;9511
POPŁAWSKA;9506
PIĄTKOWSKI;9455
ŻUREK;9436
SERAFIN;9421
MURAWSKA;9395
SMOLIŃSKA;9379
PODGÓRSKA;9352
GÓRNY;9348
PIĄTKOWSKA;9338
MATYSIAK;9333
GOŁĘBIOWSKI;9311
SOWIŃSKI;9306
STACHOWIAK;9299
PODGÓRSKI;9282
KARCZEWSKI;9274
SOWIŃSKA;9253
BANAŚ;9241
ZAWADA;9221
GOŁĘBIOWSKA;9185
KLIMCZAK;9168
ŻURAWSKI;9143
ROSIŃSKI;9141
KARCZEWSKA;9058
BIENIEK;9047
ROSIŃSKA;9045
GÓRKA;9036
CYBULSKI;9023
GODLEWSKI;8971
GRUSZKA;8963
KUŚ;8924
GODLEWSKA;8913
KOMOROWSKA;8893
CYBULSKA;8887
ŻURAWSKA;8873
PRZYBYŁA;8840
GROCHOWSKI;8833
SKRZYPCZAK;8832
CICHOŃ;8759
KOMOROWSKI;8754
KRAWIEC;8737
SZCZĘSNA;8735
KULIK;8734
CICHOCKI;8730
PTAK;8730
CICHOCKA;8703
GROCHOWSKA;8700
PANEK;8700
GIL;8696
SIWEK;8679
RÓŻAŃSKI;8582
NIEWIADOMSKI;8581
RÓŻAŃSKA;8558
MIELCZAREK;8544
WINIARSKI;8531
WINIARSKA;8494
KONOPKA;8486
GRACZYK;8467
NIEWIADOMSKA;8465
SŁOWIK;8416
GRZYB;8403
